Email,First Name,Last Name,Role,Password
john.doe@school.edu,John,Doe,SCHOOL_PERSONNEL,SecurePass123
jane.smith@school.edu,Jane,Smith,SCHOOL_PERSONNEL,
michael.johnson@school.edu,Michael,Johnson,EMPLOYEE,TeacherPass456
sarah.williams@school.edu,Sarah,Williams,SCHOOL_PERSONNEL,
robert.brown@school.edu,Robert,Brown,SCHOOL_PERSONNEL,Welcome2024
emily.davis@school.edu,Emily,Davis,SCHOOL_PERSONNEL,
david.martinez@school.edu,David,Martinez,HR_ASSOCIATE,HRPass789
lisa.garcia@school.edu,Lisa,Garcia,SCHOOL_PERSONNEL,
james.rodriguez@school.edu,James,Rodriguez,SCHOOL_PERSONNEL,
maria.hernandez@school.edu,Maria,Hernandez,SCHOOL_PERSONNEL,
